Feature,Importance
MonthlyCharges,0.13965173551753401
tenure,0.13629676709594113
TotalCharges,0.13476590884813042
Contract,0.11305652434757121
OnlineSecurity,0.05794938517750178
TechSupport,0.05750765088050948
PaymentMethod,0.04403456786580785
Tenure_Group,0.03140175346241226
DeviceProtection,0.025949604875126566
OnlineBackup,0.02551300498072593
Partner,0.0242088882839853
InternetService,0.023729165684135512
Dependents,0.023380289140901234
gender,0.023327924264233035
PaperlessBilling,0.019828502401455478
MultipleLines,0.01897529327932766
Monthly_Charge_Group,0.018847007111458335
Customer_Value_Segment,0.018631472243266455
StreamingMovies,0.01567533251999331
SeniorCitizen,0.014856545414273952
StreamingTV,0.01428798977755946
High_Risk_Flag,0.01281010430303981
PhoneService,0.005314582525109859
